DateTime, Sensor, Temperature (Celcius), Relative Humidity (%), Pressure (hPa)
2018-02-07 00:00:39 +0800, BME280, 22.150000, 46.301758, 1021.804
2018-02-07 00:01:11 +0800, BME280, 22.139999, 46.300781, 1021.833
2018-02-07 00:01:49 +0800, BME280, 22.139999, 46.300781, 1021.829
2018-02-07 00:02:29 +0800, BME280, 22.139999, 46.333984, 1021.814
2018-02-07 00:07:07 +0800, BME280, 22.160000, 46.080078, 1021.788
2018-02-07 00:07:38 +0800, BME280, 22.150000, 46.035156, 1021.767
2018-02-07 00:14:27 +0800, BME280, 22.120001, 45.598633, 1021.662
2018-02-07 00:16:04 +0800, BME280, 22.120001, 45.486328, 1021.737
2018-02-07 00:17:37 +0800, BME280, 22.120001, 45.332031, 1021.753
2018-02-07 00:18:10 +0800, BME280, 22.120001, 45.287109, 1021.808
2018-02-07 00:20:49 +0800, BME280, 22.120001, 45.087891, 1021.802
2018-02-07 00:21:21 +0800, BME280, 22.110001, 44.997070, 1021.771
2018-02-07 00:22:09 +0800, BME280, 22.110001, 45.008789, 1021.798
2018-02-07 00:22:41 +0800, BME280, 22.100000, 44.974609, 1021.803
2018-02-07 00:23:38 +0800, BME280, 22.100000, 44.907227, 1021.833
2018-02-07 00:25:10 +0800, BME280, 22.110001, 44.742188, 1021.816
2018-02-07 00:25:42 +0800, BME280, 22.080000, 44.749023, 1021.772
2018-02-07 00:26:30 +0800, BME280, 22.080000, 44.727539, 1021.745
2018-02-07 00:31:13 +0800, BME280, 22.030001, 44.299805, 1021.634
2018-02-07 00:32:01 +0800, BME280, 22.059999, 44.314453, 1021.709
2018-02-07 00:32:57 +0800, BME280, 22.020000, 44.311523, 1021.700
2018-02-07 00:35:32 +0800, BME280, 22.049999, 44.090820, 1021.704
2018-02-07 00:36:05 +0800, BME280, 22.049999, 44.001953, 1021.727
2018-02-07 00:36:41 +0800, BME280, 22.049999, 43.957031, 1021.747
2018-02-07 00:37:23 +0800, BME280, 22.040001, 43.946289, 1021.737
2018-02-07 00:38:13 +0800, BME280, 22.020000, 43.944336, 1021.751
2018-02-07 00:38:49 +0800, BME280, 22.030001, 43.823242, 1021.767
2018-02-07 00:39:27 +0800, BME280, 22.030001, 43.811523, 1021.686
2018-02-07 00:43:09 +0800, BME280, 22.020000, 43.577148, 1021.652
2018-02-07 00:44:05 +0800, BME280, 22.000000, 43.608398, 1021.587
2018-02-07 00:44:41 +0800, BME280, 22.000000, 43.541992, 1021.544
2018-02-07 00:45:12 +0800, BME280, 22.010000, 43.464844, 1021.531
2018-02-07 00:45:53 +0800, BME280, 21.990000, 43.452148, 1021.470
2018-02-07 00:46:29 +0800, BME280, 21.980000, 43.417969, 1021.465
2018-02-07 00:47:09 +0800, BME280, 22.000000, 43.408203, 1021.497
2018-02-07 00:48:42 +0800, BME280, 21.990000, 43.250977, 1021.487
2018-02-07 00:51:38 +0800, BME280, 21.980000, 43.172852, 1021.485
2018-02-07 00:52:09 +0800, BME280, 22.000000, 43.063477, 1021.478
2018-02-07 00:52:45 +0800, BME280, 21.980000, 43.040039, 1021.474
2018-02-07 00:53:21 +0800, BME280, 21.980000, 43.017578, 1021.460
2018-02-07 00:54:00 +0800, BME280, 22.000000, 42.974609, 1021.430
2018-02-07 00:54:38 +0800, BME280, 22.000000, 42.941406, 1021.420
2018-02-07 00:55:16 +0800, BME280, 21.990000, 42.951172, 1021.376
2018-02-07 00:56:00 +0800, BME280, 21.959999, 42.926758, 1021.336
2018-02-07 00:56:34 +0800, BME280, 21.959999, 42.870117, 1021.277
2018-02-07 01:00:17 +0800, BME280, 21.950001, 42.659180, 1021.307
2018-02-07 01:00:51 +0800, BME280, 21.959999, 42.626953, 1021.275
2018-02-07 01:05:17 +0800, BME280, 22.010000, 42.251953, 1021.260
2018-02-07 01:05:49 +0800, BME280, 22.000000, 42.330078, 1021.224
2018-02-07 01:07:31 +0800, BME280, 21.959999, 42.292969, 1021.163
2018-02-07 01:09:08 +0800, BME280, 21.930000, 42.290039, 1021.114
2018-02-07 01:09:45 +0800, BME280, 21.910000, 42.289062, 1021.117
2018-02-07 01:10:17 +0800, BME280, 21.940001, 42.201172, 1021.192
2018-02-07 01:10:53 +0800, BME280, 21.930000, 42.167969, 1021.237
2018-02-07 01:11:24 +0800, BME280, 21.950001, 42.159180, 1021.199
2018-02-07 01:11:57 +0800, BME280, 21.950001, 42.136719, 1021.261
2018-02-07 01:12:30 +0800, BME280, 21.940001, 42.157227, 1021.222
2018-02-07 01:13:01 +0800, BME280, 21.930000, 42.112305, 1021.175
2018-02-07 01:13:33 +0800, BME280, 21.940001, 42.069336, 1021.202
2018-02-07 01:17:23 +0800, BME280, 21.940001, 42.012695, 1021.167
2018-02-07 01:18:03 +0800, BME280, 21.910000, 41.955078, 1021.197
2018-02-07 01:18:41 +0800, BME280, 21.910000, 41.931641, 1021.189
2018-02-07 01:20:38 +0800, BME280, 21.930000, 41.845703, 1021.079
2018-02-07 01:21:14 +0800, BME280, 21.920000, 41.844727, 1021.089
2018-02-07 01:21:48 +0800, BME280, 21.930000, 41.833984, 1021.122
2018-02-07 01:25:28 +0800, BME280, 21.900000, 41.709961, 1021.133
2018-02-07 01:27:06 +0800, BME280, 21.879999, 41.740234, 1021.136
2018-02-07 01:33:37 +0800, BME280, 21.920000, 41.455078, 1021.094
2018-02-07 01:34:15 +0800, BME280, 21.900000, 41.398438, 1021.075
2018-02-07 01:34:51 +0800, BME280, 21.879999, 41.385742, 1021.048
2018-02-07 01:36:25 +0800, BME280, 21.910000, 41.265625, 1021.021
2018-02-07 01:37:03 +0800, BME280, 21.910000, 41.287109, 1020.981
2018-02-07 01:37:35 +0800, BME280, 21.889999, 41.275391, 1020.969
2018-02-07 01:38:06 +0800, BME280, 21.900000, 41.276367, 1021.006
2018-02-07 01:39:41 +0800, BME280, 21.889999, 41.262695, 1020.900
2018-02-07 01:41:14 +0800, BME280, 21.870001, 41.207031, 1020.944
2018-02-07 01:42:01 +0800, BME280, 21.870001, 41.261719, 1021.018
2018-02-07 01:43:48 +0800, BME280, 21.889999, 41.129883, 1020.988
2018-02-07 01:44:19 +0800, BME280, 21.879999, 41.139648, 1020.972
2018-02-07 01:44:54 +0800, BME280, 21.879999, 41.128906, 1020.992
2018-02-07 01:50:13 +0800, BME280, 21.860001, 41.028320, 1020.824
2018-02-07 01:53:50 +0800, BME280, 21.830000, 40.980469, 1020.575
2018-02-07 01:54:32 +0800, BME280, 21.830000, 41.013672, 1020.608
2018-02-07 01:58:09 +0800, BME280, 21.840000, 40.847656, 1020.535
2018-02-07 01:58:41 +0800, BME280, 21.830000, 40.813477, 1020.531
2018-02-07 02:00:14 +0800, BME280, 21.830000, 40.835938, 1020.500
2018-02-07 02:01:47 +0800, BME280, 21.820000, 40.856445, 1020.407
2018-02-07 02:03:36 +0800, BME280, 21.809999, 40.899414, 1020.273
2018-02-07 02:04:24 +0800, BME280, 21.799999, 40.944336, 1020.221
2018-02-07 02:04:58 +0800, BME280, 21.790001, 40.943359, 1020.189
