DateTime, Sensor, Temperature (Celcius), Relative Humidity (%), Pressure (hPa)
2018-01-19 00:00:25 +0800, BME280, 25.040001, 58.198242, 1015.594
2018-01-19 00:01:58 +0800, BME280, 25.049999, 58.175781, 1015.579
2018-01-19 00:03:44 +0800, BME280, 25.049999, 58.198242, 1015.611
2018-01-19 00:04:18 +0800, BME280, 25.049999, 58.175781, 1015.582
2018-01-19 00:06:00 +0800, BME280, 25.059999, 58.076172, 1015.662
2018-01-19 00:06:38 +0800, BME280, 25.059999, 58.199219, 1015.629
2018-01-19 00:07:20 +0800, BME280, 25.059999, 58.157227, 1015.647
2018-01-19 00:09:00 +0800, BME280, 25.059999, 58.166992, 1015.593
2018-01-19 00:09:36 +0800, BME280, 25.070000, 58.145508, 1015.573
2018-01-19 00:10:10 +0800, BME280, 25.080000, 58.167969, 1015.591
2018-01-19 00:10:50 +0800, BME280, 25.070000, 58.212891, 1015.583
2018-01-19 00:11:22 +0800, BME280, 25.070000, 58.178711, 1015.564
2018-01-19 00:11:55 +0800, BME280, 25.080000, 58.190430, 1015.522
2018-01-19 00:12:42 +0800, BME280, 25.080000, 58.201172, 1015.524
2018-01-19 00:13:19 +0800, BME280, 25.080000, 58.212891, 1015.471
2018-01-19 00:14:02 +0800, BME280, 25.080000, 58.247070, 1015.497
2018-01-19 00:14:34 +0800, BME280, 25.090000, 58.181641, 1015.506
2018-01-19 00:16:28 +0800, BME280, 25.090000, 58.204102, 1015.462
2018-01-19 00:17:00 +0800, BME280, 25.100000, 58.204102, 1015.463
2018-01-19 00:17:56 +0800, BME280, 25.100000, 58.226562, 1015.450
2018-01-19 00:18:28 +0800, BME280, 25.090000, 58.204102, 1015.422
2018-01-19 00:20:18 +0800, BME280, 25.100000, 58.226562, 1015.444
2018-01-19 00:21:00 +0800, BME280, 25.100000, 58.138672, 1015.418
2018-01-19 00:21:51 +0800, BME280, 25.110001, 58.273438, 1015.479
2018-01-19 00:23:35 +0800, BME280, 25.110001, 58.329102, 1015.393
2018-01-19 00:25:17 +0800, BME280, 25.120001, 58.296875, 1015.389
2018-01-19 00:25:49 +0800, BME280, 25.120001, 58.296875, 1015.367
2018-01-19 00:26:29 +0800, BME280, 25.110001, 58.319336, 1015.344
2018-01-19 00:27:01 +0800, BME280, 25.120001, 58.319336, 1015.327
2018-01-19 00:27:49 +0800, BME280, 25.120001, 58.385742, 1015.367
2018-01-19 00:28:21 +0800, BME280, 25.120001, 58.397461, 1015.372
2018-01-19 00:28:52 +0800, BME280, 25.110001, 58.385742, 1015.327
2018-01-19 00:30:37 +0800, BME280, 25.129999, 58.409180, 1015.358
2018-01-19 00:31:10 +0800, BME280, 25.129999, 58.442383, 1015.398
2018-01-19 00:32:01 +0800, BME280, 25.129999, 58.464844, 1015.398
